11;11,0;models_features_1_period/logit_model_50.sav;models_features_1_period/linear_model_50.sav;models_features_1_period/random_forest_clf_50.sav;models_features_1_period/random_forest_regr_50.sav;models_features_1_period/gradient_boosting_clf_50.sav;models_features_1_period/gradient_boosting_regr_50.sav;filenames;50
Mean Squared Error;;;348.71024;;369.02726;;346.85371;Mean Squared Error;2000
Root Mean Squared Error;;;18.67378;;19.21008;;18.62401;Root Mean Squared Error;2000
Mean Absolut Error;;;14.53964;;15.02906;;14.4485;Mean Absolut Error;2000
R2;;;0.47649;;0.44599;;0.47928;R2;2000
accuracy;;0.639;;0.639;;0.639;;accuracy;1000
precision;;0.36659;;0.36659;;0.36659;;precision;1000
recall;;0.60367;;0.60367;;0.60367;;recall;1000
f1_score;;0.45616;;0.45616;;0.45616;;f1_score;1000
Explained Variance;;0.54554;;0.52768;;0.5327;;Explained Variance;1000
Mean Squared Error;;0.01513;;0.01574;;0.01555;;Mean Squared Error;1000
Root Mean Squared Error;;0.12302;;0.12547;;0.12471;;Root Mean Squared Error;1000
Mean Absolut Error;;0.09989;;0.10266;;0.10193;;Mean Absolut Error;1000
R2;;0.54143;;0.52298;;0.52874;;R2;1000
Explained Variance;;;0.47686;;0.44894;;0.46386;Explained Variance;1000
Mean Squared Error;;;348.74689;;367.2984;;357.2736;Mean Squared Error;1000
Root Mean Squared Error;;;18.67477;;19.16503;;18.90168;Root Mean Squared Error;1000
Mean Absolut Error;;;14.50339;;14.96097;;14.67345;Mean Absolut Error;1000
R2;;;0.47644;;0.44858;;0.46363;R2;1000
accuracy;;0.639;;0.639;;0.639;;accuracy;500
precision;;0.36659;;0.36659;;0.36659;;precision;500
recall;;0.60367;;0.60367;;0.60367;;recall;500
f1_score;;0.45616;;0.45616;;0.45616;;f1_score;500
Explained Variance;;0.5432;;0.52553;;0.52512;;Explained Variance;500
Mean Squared Error;;0.0156;;0.01627;;0.01622;;Mean Squared Error;500
Root Mean Squared Error;;0.12492;;0.12754;;0.12735;;Root Mean Squared Error;500
Mean Absolut Error;;0.10144;;0.10442;;0.10415;;Mean Absolut Error;500
R2;;0.52717;;0.50715;;0.50857;;R2;500
Explained Variance;;;0.4809;;0.43115;;0.42609;Explained Variance;500
Mean Squared Error;;;345.79605;;379.54982;;382.32052;Mean Squared Error;500
Root Mean Squared Error;;;18.59559;;19.48204;;19.55302;Root Mean Squared Error;500
Mean Absolut Error;;;14.41064;;15.23102;;15.33547;Mean Absolut Error;500
R2;;;0.48087;;0.43019;;0.42603;R2;500
accuracy;;0.639;;0.639;;0.639;;accuracy;200
precision;;0.36659;;0.36659;;0.36659;;precision;200
recall;;0.60367;;0.60367;;0.60367;;recall;200
f1_score;;0.45616;;0.45616;;0.45616;;f1_score;200
Explained Variance;;0.38415;;0.24682;;0.26025;;Explained Variance;200
Mean Squared Error;;0.0207;;0.0255;;0.02523;;Mean Squared Error;200
Root Mean Squared Error;;0.14387;;0.15968;;0.15885;;Root Mean Squared Error;200
Mean Absolut Error;;0.11762;;0.12746;;0.12724;;Mean Absolut Error;200
R2;;0.37281;;0.22739;;0.23544;;R2;200
Explained Variance;;;0.43741;;0.37671;;0.31271;Explained Variance;200
Mean Squared Error;;;400.01524;;421.24871;;468.17889;Mean Squared Error;200
Root Mean Squared Error;;;20.00038;;20.52434;;21.63744;Root Mean Squared Error;200
Mean Absolut Error;;;15.79922;;16.3323;;17.48691;Mean Absolut Error;200
R2;;;0.39947;;0.36759;;0.29714;R2;200
accuracy;;0.6086;;0.5813;;0.5813;;accuracy;100
precision;;0.48547;;0.30194;;0.30194;;precision;100
recall;;0.52847;;0.48883;;0.48883;;recall;100
f1_score;;0.50606;;0.3733;;0.3733;;f1_score;100
Explained Variance;;0.24884;;-0.08686;;-0.06827;;Explained Variance;100
Mean Squared Error;;0.02499;;0.03609;;0.03537;;Mean Squared Error;100
Root Mean Squared Error;;0.15809;;0.18997;;0.18808;;Root Mean Squared Error;100
Mean Absolut Error;;0.12984;;0.15693;;0.15511;;Mean Absolut Error;100
R2;;0.24275;;-0.09346;;-0.07185;;R2;100
Explained Variance;;;0.36134;;0.29288;;0.20908;Explained Variance;100
Mean Squared Error;;;458.09354;;472.95434;;527.70584;Mean Squared Error;100
Root Mean Squared Error;;;21.40312;;21.74751;;22.97185;Root Mean Squared Error;100
Mean Absolut Error;;;16.9192;;17.51155;;18.92612;Mean Absolut Error;100
R2;;;0.31228;;0.28997;;0.20777;R2;100
accuracy;;0.5558;;0.4811;;0.461;;accuracy;50
precision;;0.423;;0.4845;;0.60775;;precision;50
recall;;0.45901;;0.39538;;0.39968;;recall;50
f1_score;;0.44027;;0.43543;;0.48223;;f1_score;50
Explained Variance;;-0.50224;;-1.06781;;-1.20097;;Explained Variance;50
Mean Squared Error;;0.05439;;0.07418;;0.07806;;Mean Squared Error;50
Root Mean Squared Error;;0.23322;;0.27236;;0.2794;;Root Mean Squared Error;50
Mean Absolut Error;;0.19719;;0.23111;;0.23697;;Mean Absolut Error;50
R2;;-0.64815;;-1.24772;;-1.36537;;R2;50
Explained Variance;;;0.38167;;0.36925;;0.27965;Explained Variance;50
Mean Squared Error;;;434.45957;;421.43042;;484.09718;Mean Squared Error;50
Root Mean Squared Error;;;20.84369;;20.52877;;22.00221;Root Mean Squared Error;50
Mean Absolut Error;;;16.50571;;16.22686;;17.71046;Mean Absolut Error;50
R2;;;0.34776;;0.36732;;0.27324;R2;50
