11;11,0;models_features_without_prom/logit_model_50.sav;models_features_without_prom/linear_model_50.sav;models_features_without_prom/random_forest_clf_50.sav;models_features_without_prom/random_forest_regr_50.sav;models_features_without_prom/gradient_boosting_clf_50.sav;models_features_without_prom/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.6345;;0.6179;;0.6361;;accuracy;2000
precision;;0.31836;;0.41938;;0.41404;;precision;2000
recall;;0.60723;;0.54704;;0.58171;;recall;2000
f1_score;;0.41772;;0.47478;;0.48376;;f1_score;2000
Explained Variance;;0.4835;;0.38655;;0.55154;;Explained Variance;2000
Mean Squared Error;;0.01675;;0.01989;;0.01455;;Mean Squared Error;2000
Root Mean Squared Error;;0.12942;;0.14105;;0.12061;;Root Mean Squared Error;2000
Mean Absolut Error;;0.10896;;0.1132;;0.09585;;Mean Absolut Error;2000
R2;;0.48346;;0.38649;;0.55141;;R2;2000
Explained Variance;;;0.67944;;0.74728;;0.75051;Explained Variance;2000
Mean Squared Error;;;208.9323;;164.63398;;162.53144;Mean Squared Error;2000
Root Mean Squared Error;;;14.45449;;12.83098;;12.74878;Root Mean Squared Error;2000
Mean Absolut Error;;;11.58081;;10.2572;;10.22481;Mean Absolut Error;2000
R2;;;0.67912;;0.74715;;0.75038;R2;2000
accuracy;;0.6313;;0.6165;;0.6239;;accuracy;1000
precision;;0.35308;;0.40991;;0.40772;;precision;1000
recall;;0.587;;0.54575;;0.55948;;recall;1000
f1_score;;0.44094;;0.46817;;0.4717;;f1_score;1000
Explained Variance;;0.48396;;0.28119;;0.44305;;Explained Variance;1000
Mean Squared Error;;0.01701;;0.02351;;0.01836;;Mean Squared Error;1000
Root Mean Squared Error;;0.13044;;0.15333;;0.13551;;Root Mean Squared Error;1000
Mean Absolut Error;;0.11036;;0.12262;;0.10973;;Mean Absolut Error;1000
R2;;0.47528;;0.27495;;0.43373;;R2;1000
Explained Variance;;;0.67496;;0.71437;;0.71507;Explained Variance;1000
Mean Squared Error;;;211.63972;;185.97611;;185.52504;Mean Squared Error;1000
Root Mean Squared Error;;;14.54784;;13.63731;;13.62076;Root Mean Squared Error;1000
Mean Absolut Error;;;11.67575;;10.81528;;10.92571;Mean Absolut Error;1000
R2;;;0.67496;;0.71437;;0.71506;R2;1000
accuracy;;0.6327;;0.6113;;0.6216;;accuracy;500
precision;;0.30573;;0.34556;;0.33851;;precision;500
recall;;0.60733;;0.54417;;0.56805;;recall;500
f1_score;;0.40672;;0.42269;;0.42422;;f1_score;500
Explained Variance;;0.482;;-0.10984;;0.35792;;Explained Variance;500
Mean Squared Error;;0.01725;;0.03692;;0.02147;;Mean Squared Error;500
Root Mean Squared Error;;0.13133;;0.19215;;0.14653;;Root Mean Squared Error;500
Mean Absolut Error;;0.10813;;0.15475;;0.11897;;Mean Absolut Error;500
R2;;0.46813;;-0.13868;;0.33789;;R2;500
Explained Variance;;;0.67888;;0.70885;;0.7102;Explained Variance;500
Mean Squared Error;;;211.09956;;190.34539;;189.6207;Mean Squared Error;500
Root Mean Squared Error;;;14.52927;;13.79657;;13.77028;Root Mean Squared Error;500
Mean Absolut Error;;;11.64532;;11.01503;;11.04209;Mean Absolut Error;500
R2;;;0.67579;;0.70766;;0.70877;R2;500
accuracy;;0.6173;;0.5771;;0.5946;;accuracy;200
precision;;0.28558;;0.41282;;0.37057;;precision;200
recall;;0.5706;;0.48419;;0.51071;;recall;200
f1_score;;0.38064;;0.44567;;0.4295;;f1_score;200
Explained Variance;;0.39569;;-1.21963;;-0.5069;;Explained Variance;200
Mean Squared Error;;0.02096;;0.07293;;0.05031;;Mean Squared Error;200
Root Mean Squared Error;;0.14476;;0.27006;;0.2243;;Root Mean Squared Error;200
Mean Absolut Error;;0.12271;;0.22201;;0.18192;;Mean Absolut Error;200
R2;;0.35373;;-1.24909;;-0.55158;;R2;200
Explained Variance;;;0.63084;;0.67713;;0.61655;Explained Variance;200
Mean Squared Error;;;241.99031;;210.23274;;249.7006;Mean Squared Error;200
Root Mean Squared Error;;;15.55604;;14.4994;;15.80192;Root Mean Squared Error;200
Mean Absolut Error;;;12.54602;;11.50375;;12.46271;Mean Absolut Error;200
R2;;;0.62834;;0.67712;;0.6165;R2;200
accuracy;;0.6173;;0.5771;;0.5946;;accuracy;100
precision;;0.28558;;0.41282;;0.37057;;precision;100
recall;;0.5706;;0.48419;;0.51071;;recall;100
f1_score;;0.38064;;0.44567;;0.4295;;f1_score;100
Explained Variance;;0.39569;;-1.15791;;-0.5069;;Explained Variance;100
Mean Squared Error;;0.02096;;0.07131;;0.05031;;Mean Squared Error;100
Root Mean Squared Error;;0.14476;;0.26704;;0.2243;;Root Mean Squared Error;100
Mean Absolut Error;;0.12271;;0.21856;;0.18192;;Mean Absolut Error;100
R2;;0.35373;;-1.1991;;-0.55158;;R2;100
Explained Variance;;;0.63084;;0.6728;;0.61432;Explained Variance;100
Mean Squared Error;;;241.99031;;213.07396;;251.1576;Mean Squared Error;100
Root Mean Squared Error;;;15.55604;;14.59705;;15.84795;Root Mean Squared Error;100
Mean Absolut Error;;;12.54602;;11.54159;;12.49045;Mean Absolut Error;100
R2;;;0.62834;;0.67275;;0.61426;R2;100
accuracy;;0.6173;;0.5857;;0.5946;;accuracy;50
precision;;0.28558;;0.3832;;0.37057;;precision;50
recall;;0.5706;;0.49607;;0.51071;;recall;50
f1_score;;0.38064;;0.43239;;0.4295;;f1_score;50
Explained Variance;;0.39569;;-1.09614;;-0.5069;;Explained Variance;50
Mean Squared Error;;0.02096;;0.06877;;0.05031;;Mean Squared Error;50
Root Mean Squared Error;;0.14476;;0.26224;;0.2243;;Root Mean Squared Error;50
Mean Absolut Error;;0.12271;;0.21475;;0.18192;;Mean Absolut Error;50
R2;;0.35373;;-1.12086;;-0.55158;;R2;50
Explained Variance;;;0.63084;;0.67639;;0.61382;Explained Variance;50
Mean Squared Error;;;241.99031;;210.80558;;251.4877;Mean Squared Error;50
Root Mean Squared Error;;;15.55604;;14.51915;;15.85836;Root Mean Squared Error;50
Mean Absolut Error;;;12.54602;;11.53087;;12.51013;Mean Absolut Error;50
R2;;;0.62834;;0.67624;;0.61376;R2;50
