time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
44313;19205;12.5875;1000.0;4;0;0 
63473;19160;18.83125;938.0;5;0;0 
82666;19177;21.953125;885.0;6;0;0 
86610;3943;23.5140625;264.0;7;0;0 
105813;19202;22.73359375;839.0;8;0;0 
110440;4625;23.123828125000003;264.0;9;0;0 
129443;19003;22.9287109375;826.0;10;0;0 
148539;19096;23.02626953125;826.0;11;0;0 
167523;18983;23.075048828125002;826.0;12;0;0 
172541;5017;23.099438476562504;274.0;13;0;0 
191663;19119;23.08724365234375;826.0;14;0;0 
210714;19051;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19178;19178;0.1;1000.0;1;0;0 
21812;2633;50.05;0.0;2;0;0 
25225;3412;25.075;209.0;3;0;0 
44442;19217;12.5875;1000.0;4;0;0 
63710;19267;18.83125;938.0;5;0;0 
88483;24772;21.953125;885.0;6;0;0 
100637;12153;23.5140625;264.0;7;0;0 
123089;22436;22.73359375;839.0;8;0;0 
127755;4665;23.123828125000003;264.0;9;0;0 
146872;19115;22.9287109375;826.0;10;0;0 
165933;19060;23.02626953125;826.0;11;0;0 
185071;19137;23.075048828125002;826.0;12;0;0 
190136;5064;23.099438476562504;274.0;13;0;0 
209279;19141;23.08724365234375;826.0;14;0;0 
228504;19225;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19238;19238;0.1;1000.0;1;0;0 
21960;2722;50.05;0.0;2;0;0 
25434;3474;25.075;209.0;3;0;0 
44606;19172;12.5875;1000.0;4;0;0 
63620;19013;18.83125;938.0;5;0;0 
82668;19047;21.953125;885.0;6;0;0 
86516;3848;23.5140625;264.0;7;0;0 
105931;19415;22.73359375;839.0;8;0;0 
110510;4577;23.123828125000003;264.0;9;0;0 
129515;19005;22.9287109375;826.0;10;0;0 
148724;19208;23.02626953125;826.0;11;0;0 
167749;19024;23.075048828125002;826.0;12;0;0 
172795;5046;23.099438476562504;274.0;13;0;0 
191798;19002;23.08724365234375;826.0;14;0;0 
211040;19242;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19178;19177;0.1;1000.0;1;0;0 
21794;2614;50.05;0.0;2;0;0 
25248;3452;25.075;209.0;3;0;0 
44510;19261;12.5875;1000.0;4;0;0 
63739;19229;18.83125;938.0;5;0;0 
82848;19108;21.953125;885.0;6;0;0 
86654;3805;23.5140625;264.0;7;0;0 
105698;19042;22.73359375;839.0;8;0;0 
110407;4707;23.123828125000003;264.0;9;0;0 
129626;19219;22.9287109375;826.0;10;0;0 
148871;19245;23.02626953125;826.0;11;0;0 
168377;19505;23.075048828125002;826.0;12;0;0 
173504;5127;23.099438476562504;274.0;13;0;0 
192965;19459;23.08724365234375;826.0;14;0;0 
212156;19191;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19073;19073;0.1;1000.0;1;0;0 
21808;2733;50.05;0.0;2;0;0 
25154;3345;25.075;209.0;3;0;0 
44465;19310;12.5875;1000.0;4;0;0 
63504;19038;18.83125;938.0;5;0;0 
82786;19280;21.953125;885.0;6;0;0 
86573;3786;23.5140625;264.0;7;0;0 
105717;19143;22.73359375;839.0;8;0;0 
110229;4512;23.123828125000003;264.0;9;0;0 
129277;19047;22.9287109375;826.0;10;0;0 
148293;19015;23.02626953125;826.0;11;0;0 
167250;18955;23.075048828125002;826.0;12;0;0 
172272;5022;23.099438476562504;274.0;13;0;0 
191433;19160;23.08724365234375;826.0;14;0;0 
210540;19106;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19492;19492;0.1;1000.0;1;0;0 
22128;2635;50.05;0.0;2;0;0 
25541;3413;25.075;209.0;3;0;0 
44802;19260;12.5875;1000.0;4;0;0 
